id,schema,bodyText,fileName,mimeType
22236.9740f8912a6135bb7c5cc1352852a4dfab8157c3,Image,‘@59PC - Commercial Burglary,976.png,image/png
22237.455edfe655c9272f992919746e773dca197e8b19,Image,"Necklace Thiet

 

 

 

 

 

 

 

 

 

‘Santa Cava County Star
4068084500

Trvesgatons",979.png,image/png
22238.3dbd403c6ee57ddc970b6b7b814a9932f96d8577,Image,"Wanted for Questioning 245 PC
Soa BOOS Geeta Daw

 

 

   

 

 

Tarpbor Potcs Deparment
Diep 408) 866-210"" / Desk 408) 866.2185,",977.png,image/png
22242.bbc31378584e9eb0ef256a71f88ff63b81fc5f25,Image,"HOME INVASION ROBBERY

 

 

 

 

 

 

     

fra visa sn aw gan td oy te enarce aap he Son
[roeyron even etic wen aman afar nt eve a

 

 

 

‘San dose Potea Daparinant- FoBbory UAT
40627-4168,",984.png,image/png
22243.55f0ca4ff4f63fb9fa351495743c510e02d29130,Image,"PC 459 SUSPECTS - CAN YOU ID?

 

 

 

  

 

 

 

 

""ELK GHOVE POLICE DEPARTMENT NVESTIGATIONS DIVISION
‘24 Hour Otieo Lira: (916) 663-2106",983.png,image/png
22246.66918193143991269e328beb18dcb77ac348168c,Image,‘STRONG ARM ROBBERY,987.png,image/png
22248.a67b25b5f9f62e6cef8890e6523d95cf72cb32a3,Image,"CAPC2i1 ARMED ROBBERY

 

 

 

 

 

    

 

 

arson Polce Doparinort
760-256-2211",989.png,image/png
22251.bf069a13fb3e6487b22c19b3e5641fc3983a6aa2,Image,"459 PC/530.5 PC SUSPECTS ARRESTED

 

 

 

Sent: 2014-07-02 @ 1720 cme: 14001914 Auber: Detective Morera

 

(Or 062776, aapoas Cares Oar and Cvistone Neca wow areca Pe Gy of Capon ae paharg gH cae w Ae
[awh ateradoropad ot crt delyeg ser cog cardrumbers Dav ard ecru Wer he Asch ae ar ey were
farang 20s Honan teareg (CA) UP. SARLDSS,

loavs ana uectam worn posession osovera papal it carts Amercan Express Chase, Vein Mebil, Vezon, Va Vara
lator stared gt sce deptayng ston seat cart numbers vee uncng ons eo ow company 1 ca Sepa)
[ache ps recurso omg cof Cahoy CA ard toe acest ha puchase apace he Gyo Sean Vay
[he gitar wre pochased al Scots Vale Maron 0627/8

[youve any str cases please contac Detcve Meer at 1) 4754242 on 360.

 

 

Capitola Police Department
931-475-4242",991.png,image/png
22255.4bcdefa292c0070d84459eed6e964f0e72b95efd,Image,"‘Cold DNA Tit on July 2004 case - 209 (BT) PC and 2BT(AN)

 

 

   

 

 

Samper at ay

 

 

 

 

 

Sana Grit Comny San
31547611",994.png,image/png
22256.2920cf4c3f819423c7bfb8d7d5fe7d2c4faffdde,Image,"Tae REO
Jing - woueseg eed OY

 

 

 

 

      

 

 

 

‘One GSP UM paIEHOSSE OPUAA.",998.png,image/png
22262.5f1e817c6040bf10c409efa662d3d2e60ae2bb6d,Image,"TRG POG POTTED
16565 000526.

 

 

 

snd oe sem ean ech",001.png,image/png
22266.56b57d574cdf06559e58eafb65cfa02348023de6,Image,"FALSE POLICE REPORT - SIMILARS REQUESTED

 

 

 

Sent: 2014-07-09 @ 1613, caso: SR 404008 ‘Auber: SABIO0, #434

ye ae

 

 

[zara aa Pain cared Raa Gy ot San Pal Paring Corer Oe was taGgal 18 mph and um ARTA,
lensing Paaaretcateg ard tad an anbasre ha hed Wend

lsatemers to winesses eval hatibe nde mae ge

|Wrerss mporad athe Paring norco vt (parking buggy} was pated wih eerie ot when healed ctor
foc pace Wo Paina sevacies te ParurgErircrnen! Oo Ansayan approached te pat Bag. argedon ere
[tne togy, rater ft oe woud canglaneg pa

|nhon oor rt paramadcs ares on scone, Anzayar ad Pata used et oo pones © cor ocr arpa
raster nrc thy aa Pater usar pees Ara ced rece

[youve sitar ype repens, eas ety

loncer Tom sto, 404
[sr ata etce Capa
loa 3003.09

fron 555000

 

 

‘San Rafael Police Department
15095",003.png,image/png
22273.c4dac53683f1f6617a0eb4a5e8c0355d4661df59,Image,"Can You 1D Me

 

 

 

 

 

 

‘aia Potes Daparinont
1650997.6321",013.png,image/png
22284.1ec96ca76f1b361bf0968b8a503258c5599129e1,Image,"KS Training

 

 

 

 

 

 

Enver Detauk Foor Une | Tot
Eno Detaut Foote Line 2 Text",025.png,image/png
22292.58e017bcd7c2d5900c362fc5510bff165ab7693a,Image,"530 PC Suspects

 

 

  

 

 

Pacis Paton Dap [ca0a7T 107
Tol 650-758-7914 Fax’ 650-355-1172",031.png,image/png
22302.99ae99d0ca7f96026d62d78b64753800caf645ed,Image,"‘Day Oly Pons Doparont
ot Bt Tone",043.png,image/png
22314.40f4239ec3fa16e9c8cb515ff6bcd60a6fff93ee,Image,"‘BURGLARY SUSPECTS

 

 

 

 

 

 

 

Talat Pokce Department
(707) 7924611",053.png,image/png
22316.8b9c7d7d0220fef2900a4715e7e3f832d48804ea,Image,"Tareas
vou une 2119 ees

 

 

mtnennomangeennae wl

 

oon SE a Se oe
en te nen en EOE

Seem ee eon re

i money en
pete Renter

‘son noe ni wy weno ue pred 0m 8 anno oun ape WSS Has]

yg tet bam

 

ats a eee oo weme tare om

 

 

[25In0g $7010UNIY YO,",056.png,image/png
22321.ae0314a25916c24a82be3465015827d4af0b55e6,Image,"Sent: 2014-07-10 @ 1015 cao: 14005268 ‘uber: BOC #42

 

 

(Coamtrercreconmarssnn—)] (""ower tapones — [ TENOH EN

 

lay tyme spied spots The wo can phos are olunentfed axjacs” Altar sie Okara and Baye Dit Sah

[peace not Pe tom retains

 

 

 

 

Daly City Police Deparment
Sr. Detective Joe Bocei 850-991-8171",057.png,image/png
22324.278fbf59162a6a9a600a7a7dcfc020eb902760ef,Image,"rer BOSE)
wouedog voneadig Aune9 oor UES.

 

 

 

 

 

 

 

 

 

13O1JIO NOLLVEOUd NOUS ONIGNOOSAY LINGY",066.png,image/png
22329.4245992f3394b6352631e4e65344893a295b7fb0,Image,"Package Thiel Caught On Video -ID needed

 

 

 

 

 

 

‘airont Potce Daparinont (CAOATOZOO)
16505957815,",070.png,image/png
22332.f857ba4c86c6635c270c84d5e6f9e9b6a1ee2568,Image,OFFICER SAFETY,073.png,image/png
22338.9868a653e4719a02abdc2c06cc25e6f1f906ce71,Image,"PC 594 (b)(2) - Vandalism Suspect - ID Needed

 

 

Sent: 2014-07-11 @ 0837 cao: 1416401217 Auer: Toba #1825

  

 

(ar eTaTe araperomainyTOOU Toma SOT was Goin ares wa by Pan Sve, ae ian Sars OS
[soit an Seg Radin Caprina. SI punted ard satire ta gts one bs doar The osama cosa mpar DO

lzor $6701, $01 uarown anda ane,

[01s decrees Hispanic mats appeximatey 50 yeas, 5a 220 pounds, sho ack Rak, own eyes, dean shaven,
lard weaang ay te tat arabe jars.

layone wit omaton cn te spat pls contact Dec Teta a 408-21:717 er emi Eda ing ser cep 29

 

 

‘Santa Clara County Sherif - Transt Patrol
408-321-7137",076.png,image/png
22347.b08cc3ad20101d2987b3d10962b7984047fd30ee,Image,"‘OFFICER SAFETY WANTED FOR HOMICIDE

 

 

 

 

 

 

 

 

 

 

Tehama Courty Shons Ofco
(520) 528.7900",088.png,image/png
22353.c1f1b7ee0ad7022f563ddeb8e453baafaa8f952e,Image,"Did we steal from your stores?

 

 

Sent 2014-07-18 @ 0008 caso: 14009907 ‘uber: France #22614

  

[Raxaraenns DOR SETENT) [Reais COSTER]
(on TarTearepronnainy 17 Rava fe sive SESS, cme Roe ULTATaiod nora ard conceded svra Fagan
Into teats and ""Sosgrr type bags ULTA eqpetied her mrchandee Back and Siro wan pression Saja wee F
larcimpindiney mere rings sea morctandsa sli cash

 

 

‘ate howe Warns O68 98900, CA DL ESENOE, 5% 105, BPN, aar ct laa, CA",089.png,image/png
22359.4136e5bf0605c682fed2fe0d0d3dd8d5818a8d71,Image,"How to get away with Bank Robbery... info only

Soa Bara@ we ‘Ge O68 — Aa © Bon Be

 

   

   

 

 

 

 

‘asland Pole Dapt Robbory Unt
5102383326",099.png,image/png
22365.b7d9728a8ef3e8ee148422be57536439dc12fed1,Image,"TLOCATED™ Custom Vehicles Stolen in Manteca

 

 

 

   

 

  

 

 

 

 

TWarteca Pace Doparinant- Dspach
(209) 4568101",106.png,image/png
22368.0416b216d9d121dcea41937c7d02c446ef211ac0,Image,"Robbery Suspeat In Custody

 

 

=

 

 

‘ating Poko Doparent
0 Robbery Ore. Campos (510) 238-3326",108.png,image/png
22370.e2830a0c2bd4298d13a422547fa9e565ccc69e4a,Image,"Update - Known Auto Burglar

 

  

 

 

 

 

 

Daly Cay Potse Daparimont
‘Dot Bal Tone, wono@eayet org",110.png,image/png
22372.63d01c8c2fca7ab28227ac32ce46c10ae9c0979a,Image,"‘ATM SHOULDER SURFING BANK OF AMERICA

 

 

 

 

 

     

 

 

 

 

Daina T. Goodiotow Emery Potce Daparimont
(50) 5963793)",112.png,image/png
22377.a5be9c2de9d947e2f7e7b596b33ded96b67b52eb,Image,"Cancel PC 280 Out of Compliance

 

 

  

 

 

 

 

 

Gity Pokes Deparment
(408) 846-0350",116.png,image/png
22382.1d2426d1b7154830681f937d9d18673dc768a271,Image,"‘SUBJECT IDENTIFICATION NEEDED.

 

 

‘ee 1a ‘a ang be

 

 

 

 

 

 

“STOCKTON POUCE DEPARTMENT
(209}857-6523 0 ater hours (209)857-6245",122.png,image/png
22387.a59061ea51ee3a5bb313f94902385bc61e850b14,Image,"TDENTIFICATION NEEDED. ROBBERY SUSPECT

 

 

 

 

 

 

 

 

Tos Banos Potce Department Spocal Senvees Unt
(200) 27-7070 Ext 114",126.png,image/png
22391.bddf7df2edbbe99797db94bdb6a74abdbf002de6,Image,"TO SHAE TAT IONE
wep uaiey onooieg

 

 

 

 

 

 

 

 

 

‘Trejbang rerosewwoo",134.png,image/png
22405.7f60ed20930342be1a611482803d2107ba5b8795,Image,"TERRE BO
‘oye ary y wouedeg oFeuUNS LOUK 199

 

 

 

 

 

 

 

‘eaueydwoD 10 INO Da 062",149.png,image/png
